Memo,Id,SkillName,SkillDescription,SkillIconKey,Level,SkillLevelName,SkillLevelDescription,SkillDataKey,Amount,Cooldown
공격력 증가 패시브 스킬,14000400,StringTable/622634983462,StringTable/622634983463,6cd82b140799940518d7a2aabc0d294e,,,,,,
,14000400,,,,1,StringTable/622634983464,StringTable/622634983465,958b9c088e3f94a3eb3a12316f5e1413,25,0
,14000400,,,,2,StringTable/622634983466,StringTable/622634983467,958b9c088e3f94a3eb3a12316f5e1413,45,0
,14000400,,,,3,StringTable/622634983468,StringTable/622634983469,958b9c088e3f94a3eb3a12316f5e1413,50,0
파이어볼 스킬,14000100,StringTable/622634983444,StringTable/622634983445,92a436165918d476992fe8363157c822,,,,,,
,14000100,,,,1,StringTable/622634983446,StringTable/622634983447,9e907f54a0dbf414c91dbb241d0c338a,150,7
,14000100,,,,2,StringTable/622634983448,StringTable/622634983449,9e907f54a0dbf414c91dbb241d0c338a,165,5
,14000100,,,,3,StringTable/622634983450,StringTable/622634983451,c2bcd1ebe362d46fb98e01c9c8399e20,250,3
힐 스킬,14000600,StringTable/622634983472,StringTable/622634983473,6cd82b140799940518d7a2aabc0d294e,,,,,,
,14000600,,,,1,StringTable/622634983474,StringTable/622634983475,a7aff52c3dce245ea801849d3a46900a,500,0
,14000600,,,,2,StringTable/622634983476,StringTable/622634983477,a7aff52c3dce245ea801849d3a46900a,1000,0
,14000600,,,,3,StringTable/622634983478,StringTable/622634983479,a7aff52c3dce245ea801849d3a46900a,2500,0
체력 증가 패시브 스킬,14000300,StringTable/622634983456,StringTable/622634983457,6cd82b140799940518d7a2aabc0d294e,,,,,,
,14000300,,,,1,StringTable/622634983458,StringTable/622634983459,a5ceb778d441e4c40950b5a37e070fcf,25,0
,14000300,,,,2,StringTable/622634983460,StringTable/622634983461,a5ceb778d441e4c40950b5a37e070fcf,80,0
,14000300,,,,3,StringTable/622634983462,StringTable/622634983463,a5ceb778d441e4c40950b5a37e070fcf,100,0
메테오 스킬,14000500,StringTable/622634983472,StringTable/622634983473,76d38a51afb13490db1a529fb1ba34fa,,,,,,
,14000500,,,,1,StringTable/622634983474,StringTable/622634983475,d9983502127a842f097974f4901c170e,150,10
,14000500,,,,2,StringTable/622634983476,StringTable/622634983477,d9983502127a842f097974f4901c170e,200,8
,14000500,,,,3,StringTable/622634983478,StringTable/622634983479,d9983502127a842f097974f4901c170e,250,5
검 공격 스킬,14000200,StringTable/622634983452,StringTable/622634983453,cf685c41c9478492f825dabd84d7f8d3,,,,,,
,14000200,,,,1,StringTable/622634983454,StringTable/622634983455,d23af51e837924ec79bc4ef9a6c0d300,100,0.5
